Latitude,Humidity,Wind Speed,Clouds,Temperature (f)
-9.8,100,5.44,80,80.303
43.65,65,2.91,92,25.853
-22.57,19,3.6,24,79.376
-54.81,38,7.7,90,56.84
64.86,82,2.51,1,-3.496
39.95,63,4.6,90,53.06
-17.12,70,7.2,75,86
-23.12,98,8.34,76,74.048
31.34,16,3.46,0,41.828
71.64,61,4.36,44,-7.447
-33.02,77,6.7,0,66.2
-22.97,74,7.7,0,82.4
60.79,83,5.1,75,24.08
-20.21,83,1,20,73.4
6.8,79,2.1,75,84.2
3.07,100,3.49,0,83.858
-33.64,100,5.71,0,57.443
-2.02,100,3.64,24,82.733
-42.78,62,7.7,40,51.8
12.41,44,1.71,20,83.813
-46.19,81,8.36,24,45.248
39.31,49,9.8,75,58.28
-33.69,90,5.39,0,67.163
24.63,50,4.1,75,75.2
15.34,95,1.24,48,70.943
-34.42,40,1.11,88,67.793
68.54,73,1.79,76,-11.002
34.42,49,3.6,1,74.336
17.52,66,2.6,75,87.8
35.73,87,1,75,51.008
-2.88,100,1.51,48,75.308
70.62,57,1.74,44,-11.497
10.57,100,4.19,56,81.473
-0.6,100,2.14,76,81.878
11,92,4.54,36,77.153
-33.21,75,3.31,100,56.498
65.61,100,1.29,0,24.548
-53.16,66,5.1,0,55.544
0.05,94,1.14,44,76.433
30.04,47,7.2,75,75.398
0.07,77,2.96,12,84.713
-33.59,66,9.19,12,72.878
-18.06,20,4.36,48,84.578
-34.53,68,1,76,64.4
42.65,70,8.7,75,45.644
69.44,84,4.1,20,3.2
62.45,92,3.6,90,14
-20.63,73,3.84,44,81.203
6.4,100,2.06,88,79.583
24.8,99,4.71,8,78.053
-42.48,97,8.36,92,51.503
52.47,81,5.1,0,48.848
21.44,76,4.1,40,77.126
63.44,93,4.1,75,37.4
-46.13,100,12.14,80,46.508
59.7,100,5,90,23
70.03,100,6.51,80,41.873
-23.58,93,2.64,0,64.553
15.46,27,2.26,0,79.853
65.28,84,1.5,75,1.4
-6.09,33,4.76,0,94.433
54.51,74,3.86,76,37.013
51.89,93,7.2,75,53.6
62.91,87,6.7,40,47.084
53.86,68,4.06,68,37.598
43.37,92,1.46,20,51.98
10.24,59,6.7,20,89.6
-20.46,16,4.1,56,84.2
-16.45,22,5.1,0,66.2
-21.21,88,7.2,75,71.6
18.19,93,3.76,0,85.478
16.97,74,2.6,40,87.8
8,96,0.16,64,68.513
-42.88,62,7.7,40,51.8
69.7,100,3.46,76,10.373
33,78,1.84,36,50.873
-6.12,94,0.94,76,75.983
-10.62,100,5.31,88,77.378
-30.17,93,4.49,88,71.798
-45.87,34,6.2,75,68
-21.64,58,7.2,0,86
10.49,58,1.56,40,87.8
-20.56,85,4.61,20,70.673
22.08,71,5.1,40,77.828
9.54,100,4.49,92,82.463
60.91,73,10.8,40,29.858
-33.93,59,1,0,66.2
45.62,76,2.6,0,49.082
-34.67,82,0.5,90,60.8
-38.38,69,5.44,8,71.213
63.84,100,14.4,40,32
-38.31,69,5.44,8,71.213
-46.28,67,11.66,0,47.048
-39.03,40,1.5,0,69.8
71.97,71,1.84,76,0.878
46.45,96,1.16,80,32.603
-0.74,54,5.7,40,82.4
37.72,100,4.1,75,66.2
-13.71,30,5.1,0,71.6
39.41,65,4.6,90,51.71
20.2,23,2.84,0,81.923
11.28,49,1.5,0,91.4
-1.93,98,0.59,68,74.453
14.88,80,1.44,0,69.773
41.05,78,1.11,76,40.613
62.23,93,6.7,92,48.2
35.3,31,4.29,24,62.798
36.9,54,4.1,75,46.832
19.71,84,2.6,75,63.482
28.58,69,3.1,40,73.4
48.65,100,7.91,92,43.808
64.25,100,12.06,92,38.678
64.84,82,2.51,1,-3.46
5.28,100,1.89,75,78.8
26.35,89,6.2,75,76.406
45.6,76,2.6,0,48.002
-45.58,45,4.1,75,59.594
13.58,24,3.24,0,90.428
-46.43,43,8.24,92,63.833
-6.13,71,2.79,20,80.033
78.22,68,11.8,20,24.8
67.86,86,3.1,24,26.6
45.52,77,2.6,90,53.726
71.03,95,1.59,92,33.278
-5.67,100,5.64,68,80.078
42.84,65,2.74,0,23.333
60.14,95,14.66,0,32.198
-20.74,37,4.54,0,77.423
50.6,51,1.56,24,-8.392
38.52,72,7.7,20,68
63.45,63,3.29,64,9.248
35.74,81,1.39,75,56.372
-32.03,64,5.1,40,73.4
63.92,66,2.69,12,2.678
63.93,98,3.29,80,40.658
38.36,51,10.3,1,56.534
52.21,72,2,0,14
-2.57,100,3.06,68,80.573
27.97,49,1.26,0,76.298
-17.73,78,6.7,75,78.8
50.84,100,0.79,90,44.6
0.53,100,1.66,80,83.363
-8.15,98,3.86,92,80.303
33.61,48,2.1,20,61.016
34.02,82,2.1,20,62.6
-34.38,68,4.6,40,68
25.6,65,2.11,24,72.878
13.72,100,3.39,76,78.953
68.82,72,8.2,75,15.8
33.72,100,2.61,80,63.158
-30.97,10,3.19,76,71.393
50.7,100,8.7,90,48.2
13.6,26,2.06,8,73.328
36.54,87,1,20,60.8
4.94,66,0.5,0,84.2
31.42,100,4.19,68,67.703
73.51,89,6.01,0,21.893
60.73,85,4,75,19.4
63.75,79,2.6,90,19.4
-35.17,97,10.04,92,60.773
7.69,41,3.94,80,88.448
54.66,69,4.44,68,37.283
-18.76,57,3.16,20,87.683
42.9,74,1.24,0,24.323
38.08,100,2.26,0,55.148
59.7,87,5,90,46.4
14.4,70,0.56,0,53.978
72.79,100,5.06,44,22.433
13.22,66,6.7,20,86
45.36,100,1.5,90,37.31
59.95,97,4.76,92,34.178
7.87,68,1.21,32,84.893
60.35,79,3.61,76,21.533
-20.41,83,1,20,73.4
67.47,80,8.96,68,18.428
34.64,77,5.1,75,59
40.81,81,1,20,50
55.94,87,4,90,44.6
3.12,49,4.04,8,82.913
34.92,55,3.6,0,69.26
15.74,79,4.41,44,76.208
51.1,91,1.14,80,30.308
53.74,58,2.24,0,10.373
28.39,68,3.74,32,69.413
63.12,75,9.3,75,44.6
-1.75,52,2.24,20,92.678
18.39,82,3.1,40,57.2
-27.46,94,4.1,90,68.9
-23.78,94,4.99,12,75.758
25.27,26,3.1,0,77.81
69.22,72,8.2,75,15.8
14.9,88,7.06,20,80.573
43.63,81,1,0,42.8
53.14,78,4,90,32
66.32,91,2.79,88,26.708
30.37,36,2.6,1,70.952
49.72,86,1.5,90,33.8
77.48,100,4.14,0,1.643
18.03,52,8.2,20,89.6
-16.48,100,3.46,48,80.573
6.12,100,3.39,92,77.198
68.75,70,0.71,24,-10.057
11.67,100,4.81,0,83.858
-20.46,22,1.91,24,69.773
50.68,100,3.69,88,41.603
57.02,74,2.29,8,12.443
49.65,86,2.1,0,41
24.4,85,2.74,0,47.813
47.66,100,6.2,90,42.8
50.14,70,3.26,32,27.158
41.91,56,6.2,90,47.084
59.24,100,2.11,76,19.598
54.11,87,7.7,40,50
-7.37,96,1.26,76,70.583
40.33,100,0.99,68,68.828
-20.22,60,5.1,0,69.8
54.43,98,3.51,92,49.163
40.81,44,10.3,40,55.868
51.22,60,1,0,40.73
39.75,57,8.7,40,56.444
1.56,94,1.5,75,78.8
-34,63,5.71,24,70.178
26.04,42,2.49,80,80.708
53.6,58,6,0,30.2
-4.94,100,1.44,32,80.708
53.14,71,10.8,75,51.8
-33.52,90,5.39,0,67.163
55.74,85,2.6,75,15.8
22.68,23,3.64,0,75.083
-9.17,37,4.51,20,87.773
43.97,64,5.7,75,39.974
-16.99,83,2.6,75,75.2
0.12,55,1,40,89.6
69.49,72,1.59,64,-2.587
33.19,39,3.6,1,63.05
68.22,83,1,20,-0.868
41.42,87,1.34,0,48.533
32.65,82,0.91,0,41.198
-7.28,56,1.5,40,93.2
-8.28,43,2.41,8,97.223
53.83,92,2.16,44,19.013
5.42,88,1.5,75,79.718
-13.65,50,3.6,90,53.6
55.69,92,3.41,92,34.493
48.95,87,3.1,20,42.8
-26.65,93,3.6,32,57.2
-51.62,32,11.8,0,66.2
48.58,81,5.7,20,52.178
38.94,77,1.29,56,25.448
18.42,83,5.1,40,81.392
68.06,65,1.11,48,-1.147
-34.83,71,3.6,0,57.2
63.69,86,10.8,75,43.304
53.09,99,4.84,92,52.673
38.18,62,1.36,0,59
-1.77,78,1.26,68,84.263
0.49,74,4.36,0,78.233
-8.83,78,3.1,40,78.8
-3.71,58,8.2,20,86
44.83,87,0.5,0,47.408
30.3,54,8.2,1,70.934
-17.07,21,3.06,0,84.533
-17.91,15,2.29,0,84.128
-23.95,52,2.1,20,68
11.72,94,4.1,75,82.4
25.6,100,0.81,0,39.533
-10.12,90,6.76,12,80.978
33.93,99,1.59,12,50.333
-9.01,74,5.51,76,81.743
48.41,64,3.6,90,39.2
-28.55,94,8.01,80,58.613
15.34,54,2.1,0,59
41.89,63,3.6,20,63.896
12.18,49,1.26,24,79.403
58.81,84,1,75,6.8
65.58,100,8.99,20,36.248
60.47,92,1.69,88,13.163
31.33,43,3.1,1,71.492
58.25,97,6.16,92,46.598
-22.91,56,5.21,0,68.783
44.83,91,2.04,0,41.243
40.73,50,10.8,20,57.272
18.69,18,1.36,0,72.428
12.79,98,6.34,0,80.843
5.38,89,4.06,20,83.858
55.21,98,3.69,92,47.273
34.15,42,3.6,20,76.604
7.94,98,1.89,68,72.743
19.05,95,1.51,44,61.493
54.05,71,0.94,0,6.008
60.55,44,7.2,90,31.514
-20.07,95,1.96,24,67.208
56.85,52,4.29,88,24.458
25.87,56,9.3,75,81.896
-9.67,62,9.3,40,84.2
23.92,54,5.1,75,78.8
43.56,77,2.1,90,65.534
55.1,86,5.7,90,28.4
-14.8,53,3.64,80,75.758
29.85,99,2.19,0,57.263
10.07,92,1.16,36,63.923
39.45,82,1.74,20,59
67.55,31,1.16,24,-22.072
43.21,93,2.6,75,53.528
-14.27,100,4.16,92,76.703
-19.55,100,8.86,44,74.498
37.14,82,3.1,0,62.6
-28.95,87,1.36,0,64.733
43.73,43,5.1,75,60.998
43.32,99,4.99,0,53.978
27.52,32,2.6,5,84.2
8.96,55,4.1,20,62.6
62.65,81,3.09,68,9.833
50.08,67,4.49,0,29.543
-16.23,100,7.51,0,78.098
50.29,47,3.39,0,18.113
-17.73,100,6.24,0,78.143
70.47,78,5.1,75,8.6
22.89,54,3.6,5,80.69
62.16,63,3.01,20,9.293
24.34,100,5.94,8,77.423
54.72,94,5.34,0,20.723
30.78,100,0.56,92,40.658
47.83,59,0.46,36,-2.272
-1.85,82,5.1,75,67.46
36.95,40,6.2,75,69.836
35.37,81,2.1,24,46.4
-5.23,41,1.71,0,96.683
-0.92,100,2.79,48,81.698
32.65,64,5.1,75,68
50.81,81,3,0,44.6
-22.09,93,1.96,12,63.833
15.17,57,1.61,0,49.973
-21.2,41,2.6,40,91.4
32.21,93,1,0,55.4
28.21,79,0.76,0,44.843
47.8,92,1.71,92,29.003
-10.7,81,1.49,56,71.348
41.28,89,11.8,90,59.972
34.64,29,3.54,1,78.296
7.99,60,2.29,20,85.433
71.98,84,4.19,76,5.108
64.7,97,2.11,88,37.058
-15.77,88,1,44,77
-10.46,100,8.96,80,81.293
53.51,83,7.74,80,30.398
4.12,41,3.41,64,80.528
34.69,46,2.41,76,62.348
38.2,93,1.44,20,65.156
37.17,47,9.34,8,60.278
-5.83,62,3.39,12,82.463
-25.3,97,4.66,0,73.643
32.3,28,3.1,1,70.016
18.44,52,8.2,20,89.6
58.04,93,2.51,48,33.548
-21.53,32,4.1,20,82.4
16.86,74,2.6,75,86
23.94,56,2.1,5,68
50.85,96,3.19,92,47.543
54.32,87,5.1,90,51.8
39.65,63,4.1,75,48.65
-22.19,88,2.6,75,77
31.35,69,3.1,0,73.4
-29.95,68,6.7,75,64.4
17.54,94,1.59,20,77
37.85,51,1,0,58.1
22.29,100,1.44,0,70.943
17.01,61,2.1,20,78.8
68.05,100,2.39,92,32.423
21.46,98,9.24,0,82.463
-43.3,42,5.16,32,72.563
-20.34,83,1,20,73.4
44.08,65,4.1,90,41
48.07,76,4.1,90,51.8
-10.07,45,1.84,12,78.908
47.24,76,3.6,0,50.882
48.75,89,5.7,90,32
31.42,41,5.7,1,63.806
11.09,39,2.01,8,90.428
-28.77,76,4.84,0,64.823
60.89,56,5.21,64,11.633
63.17,100,2.6,0,33.8
39.93,87,7.7,40,59
20.35,98,6.39,48,81.833
37.57,93,1,75,40.676
38.76,66,5.1,1,53.852
67.8,0,1.26,12,-26.707
-7.84,77,5.1,20,69.8
-43.03,62,7.7,40,51.8
5.71,100,3.74,100,77.693
-5.2,65,7.66,8,86.108
-25.17,81,6.41,92,66.353
36.73,29,8.7,1,51.656
32.12,84,0.69,68,52.313
53.8,87,7.7,40,50
45.51,64,5.1,90,43.826
-1.3,82,5.1,75,67.496
49.6,56,1.39,0,1.823
27.12,44,2.79,76,77.198
47.59,81,1.5,90,50
45.93,88,2.01,0,47.723
9.82,93,6.21,88,83.498
53.13,50,2.06,20,12.983
-26.98,100,1.74,100,70.133
41.63,49,2.6,90,47.066
49.78,87,4.1,90,33.8
42.44,82,6.7,75,42.26
18.49,97,8.7,40,84.2
18.62,41,1.29,80,83.633
-16.35,80,4.29,24,83.228
-8.93,86,0.79,0,65.228
33.64,56,4.59,92,66.758
-9.8,37,3.36,92,86.243
31.46,49,8.2,1,71.96
-8.65,100,0.11,76,72.878
-34.48,77,1.59,100,69.008
10.3,49,1.26,88,85.883
1.74,100,0.71,68,69.503
43.41,92,1.46,20,51.98
-25.24,38,4.1,36,77
65.8,79,3.54,64,4.028
-13.74,50,3.6,90,53.6
66.04,82,1.24,88,24.863
50.72,77,3.09,48,26.393
52.87,92,4.1,90,28.4
-25.04,98,4.21,0,69.413
-2.54,97,0.81,12,71.663
27.86,42,2.61,0,74.993
52.61,81,4.6,0,48.2
18.47,81,4.1,90,79.412
6.93,88,1.5,40,77
64.42,100,4.09,36,34.898
-16.28,69,7.7,20,82.4
43.42,93,1.5,0,44.924
-8.84,100,1.46,24,81.833
31.45,58,4.29,36,67.748
38.73,77,6.89,20,68
-22.95,100,1.36,32,61.583
54.08,71,10.8,75,54.266
25.52,94,1.36,12,65.678
57.54,86,5.54,92,46.193
-35.1,94,9.31,92,61.403
58.52,85,3.1,90,21.2
48.58,81,1.5,90,50.342
46.68,72,1.5,0,60.656
5.36,75,0.94,56,76.208
51.53,99,3.29,88,31.163
48.84,100,5.1,90,37.4
43.32,66,3.1,90,48.902
39.12,66,4.1,90,54.122
46.72,87,9.8,75,33.8
21.35,73,2.1,1,77.144
37.46,34,3.1,0,58.352
5.35,86,3.86,0,77.828
-7.38,98,0.61,88,65.228
35.47,88,2.1,40,64.4
48.64,100,2.6,75,50
18.46,74,3.1,40,86
46.68,52,1.36,20,2.363
19.93,74,1.44,92,80.033
13.05,28,2.49,0,86.873
26.54,100,2.84,92,81.023
67.55,95,4.61,80,24.998
38.18,50,3.1,75,51.98
30.59,84,0.94,0,48.533
36.17,68,1.24,0,31.613
6.62,100,2.41,92,83.633
27.21,11,2.1,0,64.4
-14.47,74,2.1,0,78.8
-37.83,74,2.29,68,54.923
-33.13,61,9.3,75,78.8
33.83,35,1.59,0,65.39
39.18,54,2.1,20,55.292
5.96,79,1.89,48,79.043
29.06,64,6.2,75,71.6
-8.35,100,2.34,76,77.963
-33.73,27,3.6,20,77
59.36,100,6.79,8,16.313
60.4,93,10.3,88,53.6
58.08,82,3.91,80,27.383
63.18,93,4.1,0,37.4
14.5,86,2.39,0,75.533
49.14,100,3.6,90,30.2
-26.94,51,2.94,0,58.208
-20.31,73,4.6,0,77
69.38,100,8.06,76,25.448
37.78,67,2.1,20,69.818
-18.65,60,4.1,75,71.6
2.67,100,1.66,88,83.453
40.8,100,1.69,90,52.79
26.42,62,4.6,1,75.974
54.15,96,2.79,44,43.178
-33.68,67,4.26,0,78.503
50.63,89,2.1,0,36.23
46.68,95,3.1,90,44.348
67.68,100,3.69,80,27.158
51.2,71,1.94,8,23.198
-23.65,63,6.7,20,64.4
44.77,100,2.1,90,50.504
31.76,48,4.6,1,74.75
61.6,79,2.1,1,21.29
10.31,55,1.26,12,79.673
20.71,84,1.21,90,86
37.68,70,1,44,46.4
40.67,80,1.34,0,35.078
50.3,46,1.74,0,-4.792
47.41,85,4.74,12,35.708
52.96,87,4.6,90,46.49
20.52,19,4.1,0,87.8
-16.7,100,4.39,36,77.423
22.57,100,6.31,0,76.973
24.87,35,1.56,0,73.4
11.81,27,3.24,0,83.093
44.55,100,2.1,90,50.288
14.31,81,3.74,64,74.813
56.37,61,4.14,88,29.408
-10.16,91,5.11,0,81.248
-14.25,45,8.21,0,80.078
19.91,61,3.04,88,77.648
5.88,74,3.1,40,84.2
37.5,100,4.41,8,59.828
56.02,94,3.74,48,47.453
-37.02,96,5.64,80,59.693
14.35,32,2.24,8,84.578
51.38,93,3.1,20,43.736
-36.62,80,1.21,20,50.153
7.98,96,4.41,24,78.053
-26.57,14,5.7,0,89.6
30.28,54,8.2,1,72.41
54.43,96,3.16,92,39.578
42.41,44,11.8,0,59
-19.06,60,4.1,0,71.6
23.23,87,0.99,0,43.628
-45.87,63,6.24,8,43.853
24.93,53,1.91,0,64.733
